MACD Signals for AUDUSD (1h timeframe): 	Hold 
MACD Signals for USDCAD (1h timeframe): 	Hold 
MACD Signals for USDCHF (1h timeframe): 	Hold 
MACD Signals for NZDUSD (1h timeframe): 	Hold 
MACD Signals for EURJPY (1h timeframe): 	Hold 
MACD Signals for NZDJPY (1h timeframe): 	Hold 
MACD Signals for EURGBP (1h timeframe): 	Hold 
MACD Signals for GBPCHF (1h timeframe): 	Hold 
MACD Signals for GBPNZD (1h timeframe): 	Hold 
MACD Signals for GBPAUD (1h timeframe): 	Hold 
MACD Signals for GBPCAD (1h timeframe): 	Hold 
MACD Signals for AUDNZD (1h timeframe): 	Hold 
MACD Signals for AUDCAD (1h timeframe): 	Hold 
MACD Signals for AUDCHF (1h timeframe): 	Hold 
MACD Signals for CADCHF (1h timeframe): 	Hold 
MACD Signals for NZDCHF (1h timeframe): 	Hold 
MACD Signals for EURCHF (1h timeframe): 	Hold 
MACD Signals for EURCAD (1h timeframe): 	Hold 
MACD Signals for EURAUD (1h timeframe): 	Hold 
MACD Signals for EURNZD (1h timeframe): 	Hold 
MACD Signals for USDMXN (1h timeframe): 	Hold 
MACD Signals for USDZAR (1h timeframe): 	Hold 
MACD Signals for USDTRY (1h timeframe): 	Hold 
